,Unnamed: 0,strain,gisaid_epi_isl,date,length,age,sex,pangolin_lineage,virusType
0,0,hCoV-19/USA/MO-CDC-QDX23654710/2021,EPI_ISL_1669150,2021-04-05,29763.0,31,Female,B.1.1.7,alpha
1,1,hCoV-19/USA/MO-CDC-LC0041885/2021,EPI_ISL_1682033,2021-04-01,29694.0,20,Female,B.1.1.7,alpha
2,2,hCoV-19/USA/MO-CDC-LC0043989/2021,EPI_ISL_1684861,2021-04-09,29695.0,39,Female,B.1.1.7,alpha
3,3,hCoV-19/USA/MO-CDC-LC0043763/2021,EPI_ISL_1684611,2021-04-06,29694.0,69,Male,B.1.1.7,alpha
4,4,hCoV-19/USA/MO-CDC-ASC210040412/2021,EPI_ISL_1687393,2021-04-01,29854.0,28,Female,B.1.1.7,alpha
5,5,hCoV-19/USA/MO-CDC-ASC210027428/2021,EPI_ISL_1688380,2021-03-30,29883.0,46,Male,B.1.1.7,alpha
6,6,hCoV-19/USA/MO-CDC-QDX24603723/2021,EPI_ISL_2248493,2021-05-03,29763.0,40,Female,B.1.1.7,alpha
7,7,hCoV-19/USA/MO-CDC-QDX24603789/2021,EPI_ISL_2248470,2021-05-04,29763.0,54,Male,B.1.1.7,alpha
8,8,hCoV-19/USA/MO-CDC-QDX24603736/2021,EPI_ISL_2248464,2021-05-01,29754.0,60,Female,B.1.1.7,alpha
9,9,hCoV-19/USA/MO-CDC-ASC210035483/2021,EPI_ISL_2254275,2021-04-28,29840.0,unknown,unknown,B.1.1.7,alpha
10,10,hCoV-19/USA/MO-MSPHL-000807/2021,EPI_ISL_1791346,2021-04-10,29778.0,unknown,unknown,B.1.1.7,alpha
11,11,hCoV-19/USA/MO-CDC-ASC210063468/2021,EPI_ISL_2268238,2021-05-13,29846.0,30,Male,Q.3,alpha
12,12,hCoV-19/USA/MO-CDC-4066672-001/2021,EPI_ISL_1789848,2021-03-19,29806.0,unknown,unknown,B.1.1.7,alpha
13,13,hCoV-19/USA/MO-CDC-FG-034859/2021,EPI_ISL_2269313,2021-05-16,29791.0,90+,unknown,B.1.1.7,alpha
14,14,hCoV-19/USA/MO-MSPHL-000790/2021,EPI_ISL_1791330,2021-04-09,29778.0,unknown,unknown,B.1.1.7,alpha
15,15,hCoV-19/USA/MO-CDC-QDX24632569/2021,EPI_ISL_2269134,2021-05-05,29763.0,28,Male,B.1.1.7,alpha
16,16,hCoV-19/USA/MO-MSPHL-000823/2021,EPI_ISL_1791362,2021-04-07,29778.0,unknown,unknown,B.1.1.7,alpha
17,17,hCoV-19/USA/MO-MSPHL-000795/2021,EPI_ISL_1791335,2021-04-07,29777.0,unknown,unknown,B.1.1.7,alpha
18,18,hCoV-19/USA/MO-MSPHL-000864/2021,EPI_ISL_1791402,2021-03-31,29778.0,unknown,unknown,B.1.1.7,alpha
19,19,hCoV-19/USA/MO-MSPHL-000797/2021,EPI_ISL_1791337,2021-04-07,29777.0,unknown,unknown,B.1.1.7,alpha
20,20,hCoV-19/USA/MO-MSPHL-000844/2021,EPI_ISL_1791383,2021-04-11,29778.0,unknown,unknown,B.1.1.7,alpha
21,21,hCoV-19/USA/MO-MSPHL-000834/2021,EPI_ISL_1791373,2021-04-04,29778.0,unknown,unknown,B.1.1.7,alpha
22,22,hCoV-19/USA/MO-MSPHL-000821/2021,EPI_ISL_1791360,2021-04-06,29778.0,unknown,unknown,B.1.1.7,alpha
